branch,day,hours,Open Time,Close Time,Hours Open
125th Street Library,Monday,CLOSED,CLOSED,,0.0
125th Street Library,Tuesday,CLOSED,CLOSED,,0.0
125th Street Library,Wednesday,CLOSED,CLOSED,,0.0
125th Street Library,Thursday,CLOSED,CLOSED,,0.0
125th Street Library,Friday,CLOSED,CLOSED,,0.0
125th Street Library,Saturday,CLOSED,CLOSED,,0.0
125th Street Library,Sunday,CLOSED,CLOSED,,0.0
53rd Street Library,Monday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
53rd Street Library,Tuesday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
53rd Street Library,Wednesday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
53rd Street Library,Thursday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
53rd Street Library,Friday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
53rd Street Library,Saturday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
53rd Street Library,Sunday,CLOSED,CLOSED,,0.0
58th Street Library,Monday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
58th Street Library,Tuesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
58th Street Library,Wednesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
58th Street Library,Thursday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
58th Street Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
58th Street Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
58th Street Library,Sunday,CLOSED,CLOSED,,0.0
67th Street Library,Monday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
67th Street Library,Tuesday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
67th Street Library,Wednesday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
67th Street Library,Thursday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
67th Street Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
67th Street Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
67th Street Library,Sunday,CLOSED,CLOSED,,0.0
96th Street Library,Monday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
96th Street Library,Tuesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
96th Street Library,Wednesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
96th Street Library,Thursday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
96th Street Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
96th Street Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
96th Street Library,Sunday,CLOSED,CLOSED,,0.0
Aguilar Library,Monday,CLOSED,CLOSED,,0.0
Aguilar Library,Tuesday,CLOSED,CLOSED,,0.0
Aguilar Library,Wednesday,CLOSED,CLOSED,,0.0
Aguilar Library,Thursday,CLOSED,CLOSED,,0.0
Aguilar Library,Friday,CLOSED,CLOSED,,0.0
Aguilar Library,Saturday,CLOSED,CLOSED,,0.0
Aguilar Library,Sunday,CLOSED,CLOSED,,0.0
Allerton Library,Monday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Allerton Library,Tuesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Allerton Library,Wednesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Allerton Library,Thursday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Allerton Library,Friday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Allerton Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Allerton Library,Sunday,CLOSED,CLOSED,,0.0
Andrew Heiskell Braille and Talking Book Library,Monday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Andrew Heiskell Braille and Talking Book Library,Tuesday,12 PM - 7 PM,12:00 PM,7:00 PM,7.0
Andrew Heiskell Braille and Talking Book Library,Wednesday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Andrew Heiskell Braille and Talking Book Library,Thursday,12 PM - 7 PM,12:00 PM,7:00 PM,7.0
Andrew Heiskell Braille and Talking Book Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Andrew Heiskell Braille and Talking Book Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Andrew Heiskell Braille and Talking Book Library,Sunday,CLOSED,CLOSED,,0.0
Art &amp; Architecture Collection,Monday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Art &amp; Architecture Collection,Tuesday,10 AM - 7:45 PM,10:00 AM,7:45 PM,9.75
Art &amp; Architecture Collection,Wednesday,10 AM - 7:45 PM,10:00 AM,7:45 PM,9.75
Art &amp; Architecture Collection,Thursday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Art &amp; Architecture Collection,Friday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Art &amp; Architecture Collection,Saturday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Art &amp; Architecture Collection,Sunday,1 PM - 4:45 PM,1:00 PM,4:45 PM,3.75
Art and Artifacts Division,Monday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Art and Artifacts Division,Tuesday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Art and Artifacts Division,Wednesday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Art and Artifacts Division,Thursday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Art and Artifacts Division,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Art and Artifacts Division,Saturday,CLOSED,CLOSED,,0.0
Art and Artifacts Division,Sunday,CLOSED,CLOSED,,0.0
Battery Park City Library,Monday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Battery Park City Library,Tuesday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
Battery Park City Library,Wednesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Battery Park City Library,Thursday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
Battery Park City Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Battery Park City Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Battery Park City Library,Sunday,CLOSED,CLOSED,,0.0
Baychester Library,Monday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Baychester Library,Tuesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Baychester Library,Wednesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Baychester Library,Thursday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Baychester Library,Friday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Baychester Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Baychester Library,Sunday,1 PM - 5 PM,1:00 PM,5:00 PM,4.0
Belmont Library and Enrico Fermi Cultural Center,Monday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Belmont Library and Enrico Fermi Cultural Center,Tuesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Belmont Library and Enrico Fermi Cultural Center,Wednesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Belmont Library and Enrico Fermi Cultural Center,Thursday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Belmont Library and Enrico Fermi Cultural Center,Friday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Belmont Library and Enrico Fermi Cultural Center,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Belmont Library and Enrico Fermi Cultural Center,Sunday,CLOSED,CLOSED,,0.0
Billy Rose Theatre Division,Monday,10:30 AM - 8 PM,10:30 AM,8:00 PM,9.5
Billy Rose Theatre Division,Tuesday,10:30 AM - 6 PM,10:30 AM,6:00 PM,7.5
Billy Rose Theatre Division,Wednesday,10:30 AM - 6 PM,10:30 AM,6:00 PM,7.5
Billy Rose Theatre Division,Thursday,10:30 AM - 8 PM,10:30 AM,8:00 PM,9.5
Billy Rose Theatre Division,Friday,10:30 AM - 6 PM,10:30 AM,6:00 PM,7.5
Billy Rose Theatre Division,Saturday,10:30 AM - 6 PM,10:30 AM,6:00 PM,7.5
Billy Rose Theatre Division,Sunday,CLOSED,CLOSED,,0.0
Bloomingdale Library,Monday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Bloomingdale Library,Tuesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Bloomingdale Library,Wednesday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
Bloomingdale Library,Thursday,11 AM - 7 PM,11:00 AM,7:00 PM,8.0
Bloomingdale Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Bloomingdale Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Bloomingdale Library,Sunday,CLOSED,CLOSED,,0.0
Bronx Library Center,Monday,9 AM - 9 PM,9:00 AM,9:00 PM,12.0
Bronx Library Center,Tuesday,9 AM - 9 PM,9:00 AM,9:00 PM,12.0
Bronx Library Center,Wednesday,9 AM - 9 PM,9:00 AM,9:00 PM,12.0
Bronx Library Center,Thursday,9 AM - 9 PM,9:00 AM,9:00 PM,12.0
Bronx Library Center,Friday,10 AM - 8 PM,10:00 AM,8:00 PM,10.0
Bronx Library Center,Saturday,10 AM - 8 PM,10:00 AM,8:00 PM,10.0
Bronx Library Center,Sunday,12 PM - 6 PM,12:00 PM,6:00 PM,6.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Monday,CLOSED,CLOSED,,0.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Tuesday,11 AM - 5 PM,11:00 AM,5:00 PM,6.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Wednesday,11 AM - 5 PM,11:00 AM,5:00 PM,6.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Thursday,11 AM - 5 PM,11:00 AM,5:00 PM,6.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Friday,11 AM - 5 PM,11:00 AM,5:00 PM,6.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Saturday,11 AM - 5 PM,11:00 AM,5:00 PM,6.0
Carl H. Pforzheimer Collection of Shelley and His Circle,Sunday,CLOSED,CLOSED,,0.0
Castle Hill Library,Monday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Castle Hill Library,Tuesday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Castle Hill Library,Wednesday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
Castle Hill Library,Thursday,11 AM - 6 PM,11:00 AM,6:00 PM,7.0
Castle Hill Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Castle Hill Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Castle Hill Library,Sunday,CLOSED,CLOSED,,0.0
Center for Research in the Humanities,Monday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Center for Research in the Humanities,Tuesday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Center for Research in the Humanities,Wednesday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Center for Research in the Humanities,Thursday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Center for Research in the Humanities,Friday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Center for Research in the Humanities,Saturday,10 AM - 5:45 PM,10:00 AM,5:45 PM,7.75
Center for Research in the Humanities,Sunday,CLOSED,CLOSED,,0.0
Charleston Library,Monday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Charleston Library,Tuesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Charleston Library,Wednesday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Charleston Library,Thursday,10 AM - 7 PM,10:00 AM,7:00 PM,9.0
Charleston Library,Friday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Charleston Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
Charleston Library,Sunday,CLOSED,CLOSED,,0.0
Chatham Square Library,Monday,9 AM - 7 PM,9:00 AM,7:00 PM,10.0
Chatham Square Library,Tuesday,9 AM - 7 PM,9:00 AM,7:00 PM,10.0
Chatham Square Library,Wednesday,9 AM - 7 PM,9:00 AM,7:00 PM,10.0
Chatham Square Library,Thursday,9 AM - 7 PM,9:00 AM,7:00 PM,10.0
Chatham Square Library,Friday,10 AM - 6 PM,10:00 AM,6:00 PM,8.0
Chatham Square Library,Saturday,10 AM - 5 PM,10:00 AM,5:00 PM,7.0
